Age,Purchase_Amount,Year,Month,Day,Country_Australia,Country_Brazil,Country_Canada,Country_France,Country_Germany,Country_India,Country_Japan,Country_Mexico,Country_UK,Country_USA,Payment_Method_Cash on Delivery,Payment_Method_Credit Card,Payment_Method_Debit Card,Payment_Method_Net Banking,Payment_Method_PayPal,Payment_Method_UPI,Product_Category_Label
63,780.69,2023,4,14,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5
59,738.56,2023,7,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3
26,178.34,2023,9,17,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4
43,401.09,2023,6,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
48,594.83,2024,10,29,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3
51,966.5,2025,1,18,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2
27,341.73,2024,3,13,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,8
46,11.33,2024,1,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,8
54,279.43,2023,12,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3
60,223.9,2023,8,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3
30,344.6,2023,8,11,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,8
48,319.74,2023,11,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7
21,380.15,2024,12,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
26,871.99,2025,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2
18,382.41,2024,9,28,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5
55,133.01,2023,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
59,736.55,2023,8,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
47,336.43,2023,5,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
20,682.74,2025,2,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3
43,849.67,2023,4,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2
57,228.8,2025,2,14,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
